0.249550077,0.698261298,0
0.2714,0.815851667,1
0.2617,0.705628371,1
0.2714,0.6444,1
0.2731,0.610292908,1
0.357880789,0.631582553,1
0.2509,0.5051,0
0.121347248,0.545898377,0
0.2664,0.6827,1
0.271,0.6445,1
0.160846193,0.684,0
0.2721,0.556986821,1
0.276461294,0.389506019,1
0.256454913,0.5026,0
0.219633483,0.828087636,0
0.2677,0.6812,1
0.309318996,0.678,1
0.441174052,0.650862452,1
0.2522,0.698662113,0
0.347900106,0.75088239,1
0.271,0.6475,1
0.2707,0.516239853,1
0.229509389,0.797049676,0
0.281592828,0.6491,1
0.119815701,0.537642081,0
0.2603,0.5941,1
0.223932004,0.463859412,0
0.2712,0.6465,1
0.2499,0.6505,0
0.107136803,0.6662,0
0.2713,0.839189889,1
0.112806097,0.616962369,0
0.421224939,0.675710261,1
0.2645,0.6008,1
0.209959065,0.438792083,0
0.2542,0.600159253,0
0.2709,0.700623409,1
0.2575,0.571,0
0.241407104,0.525005985,0
0.2708,0.67936795,1
0.2542,0.648222659,0
0.2699,0.6769,1
0.314281813,0.5036,1
0.193434652,0.725614521,0
0.169228759,0.6461,0
0.30184548,0.611474237,1
0.2529,0.5051,0
0.2712,0.617408467,1
0.2558,0.733445241,0
0.242861993,0.648722828,0
0.2684,0.6797,1
0.2511,0.5058,0
0.418584884,0.6676,1
0.198670078,0.737597195,0
0.2567,0.6763,0
0.279529877,0.5099957,1
0.256,0.6251,0
0.07809004,0.6834,0
0.201421908,0.638641146,0
0.2717,0.797687332,1
0.181738471,0.649,0
0.291793682,0.6938,1
0.2512,0.5022,0
0.2534,0.736879939,0
0.271,0.45304016,1
0.275213445,0.609183538,1
0.2539,0.570335048,0
0.154956764,0.617,0
0.099466968,0.655691409,0
0.419831563,0.5063,1
0.071214952,0.5052,0
0.2517,0.6545283,0
0.2714,0.805156165,1
0.349707672,0.5065,1
0.135801694,0.6441,0
0.2465,0.5022,0
0.2712,0.787397294,1
0.2679,0.436707507,1
0.2711,0.6444,1
0.271,0.6426,1
0.265058971,0.40764501,1
0.2714,0.6707,1
0.2637,0.752003094,1
0.221300928,0.6418,0
0.101892979,0.657375128,0
0.307957685,0.879304747,1
0.2712,0.6427,1
0.2734,0.645,1
0.405969373,0.687713164,1
0.284132467,0.5806,1
0.2516,0.673174046,0
